Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h
1378,,284,25,134,44
1379,,284,25,134,44
1380,,285,26,133,43
1381,,285,26,133,43
1382,,285,26,133,43
1383,,285,26,133,43
1384,,285,26,133,43
1385,,285,26,133,43
1386,,284,26,134,43
1387,,283,25,135,44
1388,,181,26,100,43
1389,,180,23,101,43
1390,,283,19,100,44
1391,,179,18,102,43
1392,,179,0,204,59
1393,,74,0,311,58
1394,,37,0,349,56
1395,,37,0,381,53
1396,,37,0,381,49
1397,,37,0,351,45
1398,,0,0,388,41
1399,,173,0,245,35
1400,,0,0,418,40
1401,,0,0,418,40
1402,,0,17,418,23
1403,,0,17,418,23
1404,,0,17,418,23
1405,,0,17,418,23
1406,,0,17,418,23
1407,,0,17,418,23
1408,,0,17,418,23
1409,,0,17,418,23
1410,,0,17,418,23
1411,,0,17,418,23
1412,,0,17,418,23
1413,,0,17,418,23
1414,,0,17,418,23
1415,,0,17,418,23
1416,,0,17,418,23
1417,,0,17,418,23
1418,,0,17,418,23
1419,,0,16,418,24
1420,,0,16,418,24
1421,,0,16,418,24
1422,,0,17,418,23
1423,,0,17,418,23
1424,,0,17,418,23
1425,,0,17,418,23
1426,,0,17,418,24
1427,,0,17,418,24
1428,,0,16,418,24
1429,,0,16,418,24
1430,,0,17,418,23
1431,,0,17,418,23
1432,,0,17,418,23
1433,,0,17,418,23
1434,,0,17,418,23
1435,,0,17,418,23
1436,,0,17,418,23
1437,,0,17,418,23
1438,,0,17,418,23
1439,,0,17,418,23
1440,,0,16,418,24
1441,,0,16,418,25
1442,,0,16,418,25
1443,,0,16,418,24
1444,,0,16,418,24
1445,,0,16,418,24
1446,,0,17,418,24
1447,,0,16,418,25
1448,,0,16,418,24
1449,,0,16,418,24
1450,,0,16,418,25
1451,,0,16,418,24
1452,,0,17,418,23
1453,,0,17,418,23
1454,,0,17,418,23
1455,,0,17,418,23
1456,,0,17,418,23
1457,,0,17,418,23
1458,,0,16,418,24
1459,,0,16,418,24
1460,,0,16,418,24
1461,,0,0,418,69
1462,,0,17,418,23
1463,,0,17,418,23
1464,,0,17,418,23
1465,,0,0,418,40
1466,,0,0,418,40
1467,,0,0,418,40
1468,,169,0,249,37
1469,,0,0,388,43
1470,,37,0,381,51
1471,,38,0,380,55
1472,,39,0,379,57
1473,,179,0,204,58
1474,,179,10,204,51
1475,,181,19,100,44
1476,,181,22,100,43
1477,,181,24,100,43
1478,,181,25,101,44
1479,,285,25,133,44
